domain,registration,renewal,icann_fee,transfer,average,length,cost_score,domains,share
.lotto,10625.01,10625.01,1.42,10625.01,10625.01,5,53125.05,334,0.0000%
.codes,22.01,403.05,1.42,403.05,212.53,5,1062.65,45701,0.0057%
.co.in,33.84,33.84,0,33.84,33.84,5,169.2,X,X
.me.uk,34.55,34.55,0,X,34.55,5,172.75,X,X
.co.im,29.59,47.65,0,X,38.62,5,193.1,X,X
.co.uk,34.55,34.55,0,X,34.55,5,172.75,X,X
.webcam,73.13,73.13,1.42,73.13,73.13,6,438.78,77543,0.0096%
.expert,54.94,351.72,1.42,351.72,203.33,6,1219.98,77290,0.0096%
.futbol,95.29,95.29,1.42,95.29,95.29,6,571.74,8426,0.0010%
.camera,329.77,329.77,1.42,329.77,329.77,6,1978.62,8211,0.0010%
.health,73.27,403.05,1.42,403.05,238.16,6,1428.96,76656,0.0095%
.soccer,146.55,146.55,1.42,146.55,146.55,6,879.3,8125,0.0010%
.degree,293.1,293.1,1.42,293.1,293.1,6,1758.6,8088,0.0010%
.realty,622.88,2045.77,1.42,2045.77,1334.325,6,8005.95,72640,0.0090%
.market,249.13,249.13,1.42,249.13,249.13,6,1494.78,71672,0.0089%
.casino,43.96,915.98,1.42,915.98,479.97,6,2879.82,69351,0.0086%
.events,80.63,256.5,1.42,256.5,168.565,6,1011.39,68368,0.0085%
.family,219.82,219.82,1.42,219.82,219.82,6,1318.92,60230,0.0075%
.church,54.94,329.77,1.42,329.77,192.355,6,1154.13,55589,0.0069%
.tienda,337.07,337.07,1.42,337.07,337.07,6,2022.42,7236,0.0009%
.coffee,87.93,241.84,1.42,241.84,164.885,6,989.31,55487,0.0069%
.voyage,329.77,329.77,1.42,329.77,329.77,6,1978.62,7136,0.0009%
.photos,80.63,168.57,1.42,168.57,124.6,6,747.6,51361,0.0064%
.energy,69.59,659.48,1.42,659.48,364.535,6,2187.21,47070,0.0058%
.school,205.17,205.17,1.42,205.17,205.17,6,1231.02,46831,0.0058%
.living,29.38,219.82,1.42,219.82,124.6,6,747.6,5491,0.0007%
.london,49.2,187.61,1.42,187.61,118.405,6,710.43,40462,0.0050%
.clinic,73.27,366.38,1.42,366.38,219.825,6,1318.95,29459,0.0037%
.broker,73.27,205.17,1.42,205.17,139.22,6,835.32,5106,0.0006%
.villas,337.07,337.07,1.42,337.07,337.07,6,2022.42,5064,0.0006%
.luxury,182.65,182.65,1.42,182.65,182.65,6,1095.9,4746,0.0006%
.direct,73.27,234.48,1.42,234.48,153.875,6,923.25,28743,0.0036%
.condos,329.77,329.77,1.42,329.77,329.77,6,1978.62,4411,0.0005%
.boston,109.95,109.95,1.42,109.95,109.95,6,659.7,28578,0.0035%
.hiphop,146.55,146.55,1.42,146.55,146.55,6,879.3,4340,0.0005%
.makeup,7.36,88.64,1.42,88.64,48,6,288,50162,0.0062%
.estate,80.63,219.82,1.42,219.82,150.225,6,901.35,27199,0.0034%
.tennis,366.38,366.38,1.42,366.38,366.38,6,2198.28,4226,0.0005%
.hockey,337.07,337.07,1.42,337.07,337.07,6,2022.42,4223,0.0005%
.vision,256.5,256.5,1.42,256.5,256.5,6,1539,23696,0.0029%
.it.com,25.63,183.23,0,183.23,104.43,6,626.58,X,X
.locker,87.93,329.77,1.42,329.77,208.85,6,1253.1,23546,0.0029%
.report,40.28,139.26,1.42,139.26,89.77,6,538.62,22686,0.0028%
.viajes,247.65,247.65,1.42,247.65,247.65,6,1485.9,3778,0.0005%
.credit,43.96,586.2,1.42,586.2,315.08,6,1890.48,20449,0.0025%
.maison,322.41,322.41,1.42,322.41,322.41,6,1934.46,3463,0.0004%
.lawyer,351.72,351.72,1.42,351.72,351.72,6,2110.32,19458,0.0024%
.giving,43.96,157.1,1.42,157.1,100.53,6,603.18,3350,0.0004%
.repair,36.67,205.17,1.42,205.17,120.92,6,725.52,18006,0.0022%
.tattoo,10.97,219.82,1.42,219.82,115.395,6,692.37,17905,0.0022%
.supply,146.55,146.55,1.42,146.55,146.55,6,879.3,16372,0.0020%
.dental,439.65,439.65,1.42,439.65,439.65,6,2637.9,15753,0.0020%
.doctor,36.67,659.48,1.42,659.48,348.075,6,2088.45,14750,0.0018%
.claims,73.27,366.38,1.42,366.38,219.825,6,1318.95,13083,0.0016%
.kaufen,168.07,168.07,1.42,168.07,168.07,6,1008.42,12551,0.0016%
.insure,410.34,410.34,1.42,410.34,410.34,6,2462.04,11040,0.0014%
.reisen,117.24,117.24,1.42,117.24,117.24,6,703.44,10858,0.0013%
.garden,7.36,175.86,1.42,175.86,91.61,6,549.66,10788,0.0013%
.online,6.93,182.65,1.42,182.65,94.79,6,568.74,5558583,0.6893%
.stream,29.16,36.46,1.42,29.16,32.81,6,196.86,490721,0.0609%
.select,175.86,175.86,1.42,175.86,175.86,6,1055.16,1163,0.0001%
.review,73.13,73.13,1.42,73.13,73.13,6,438.78,301786,0.0374%
.agency,29.31,175.86,1.42,175.86,102.585,6,615.51,283824,0.0352%
.studio,80.63,227.19,1.42,227.19,153.91,6,923.46,252018,0.0313%
.design,21.09,293.1,1.42,293.1,157.095,6,942.57,223657,0.0277%
.schule,161.2,161.2,1.42,161.2,161.2,6,967.2,9619,0.0012%
.global,219.82,549.6,1.42,549.6,384.71,6,2308.26,137153,0.0170%
.gratis,131.89,131.89,1.42,131.89,131.89,6,791.34,9593,0.0012%
.yachts,7.36,88.64,1.42,88.64,48,6,288,123592,0.0153%
.dealer,1831.89,14532.7,1.42,14532.7,8182.295,6,49093.77,189,0.0000%
.racing,73.13,73.13,1.42,73.13,73.13,6,438.78,113046,0.0140%
.in.net,43.97,43.97,0,43.97,43.97,6,263.82,X,X
.org.uk,34.55,34.55,0,X,34.55,6,207.3,X,X
.social,22.01,234.48,1.42,234.48,128.245,6,769.47,110561,0.0137%
.center,22.01,183.22,1.42,183.22,102.615,6,615.69,103398,0.0128%
.com.im,29.59,47.65,0,X,38.62,6,231.72,X,X
.dating,80.63,366.38,1.42,366.38,223.505,6,1341.03,9355,0.0012%
.org.im,29.59,47.65,0,X,38.62,6,231.72,X,X
.com.co,73.28,73.28,0,73.28,73.28,6,439.68,X,X
.beauty,7.36,88.64,1.42,88.64,48,6,288,82139,0.0102%
.net.im,29.59,47.65,0,X,38.62,6,231.72,X,X
.co.com,146.55,146.55,0,146.55,146.55,6,879.3,X,X
.exposed,124.6,124.6,1.42,124.6,124.6,7,872.2,9057,0.0011%
.courses,7.36,197.88,1.42,197.88,102.62,7,718.34,9985,0.0012%
.holiday,366.38,366.38,1.42,366.38,366.38,7,2564.66,9938,0.0012%
.storage,3292.1,3539.9,1.42,3538.48,3416,7,23912,686,0.0001%
.fashion,175.86,175.86,1.42,175.86,175.86,7,1231.02,39868,0.0049%
.hosting,1972.71,2191.9,1.42,2191.9,2082.305,7,14576.135,40070,0.0050%
.fitness,18.33,234.48,1.42,234.48,126.405,7,884.835,31480,0.0039%
.monster,7.36,88.64,1.42,88.64,48,7,336,85176,0.0106%
.careers,183.22,403.05,1.42,403.05,293.135,7,2051.945,21506,0.0027%
.gallery,161.2,161.2,1.42,161.2,161.2,7,1128.4,42875,0.0053%
.charity,43.96,157.1,1.42,157.1,100.53,7,703.71,12008,0.0015%
.coupons,14.65,307.75,1.42,307.75,161.2,7,1128.4,12105,0.0015%
.auction,205.17,205.17,1.42,205.17,205.17,7,1436.19,25291,0.0031%
.network,32.99,197.88,1.42,197.88,115.435,7,808.045,186797,0.0232%
.compare,175.86,175.86,1.42,175.86,175.86,7,1231.02,1334,0.0002%
.forsale,73.27,205.17,1.42,205.17,139.22,7,974.54,16034,0.0020%
.theater,366.38,366.38,1.42,366.38,366.38,7,2564.66,3554,0.0004%
.country,14612.7,14612.7,1.42,14612.7,14612.7,7,102288.9,8686,0.0011%
.flights,146.55,329.77,1.42,329.77,238.16,7,1667.12,5861,0.0007%
.abogado,183.22,183.22,1.42,183.22,183.22,7,1282.54,1355,0.0002%
.tickets,2308.01,2557.22,1.42,2552.97,2432.615,7,17028.305,1547,0.0002%
.trading,117.24,117.24,1.42,117.24,117.24,7,820.68,8622,0.0011%
.support,14.65,153.91,1.42,153.91,84.28,7,589.96,84974,0.0105%
.florist,183.22,183.22,1.42,183.22,183.22,7,1282.54,5616,0.0007%
.singles,22.01,190.51,1.42,190.51,106.26,7,743.82,8172,0.0010%
.guitars,659.48,730.63,1.42,730.63,695.055,7,4865.385,1795,0.0002%
.wedding,175.86,175.86,1.42,175.86,175.86,7,1231.02,84059,0.0104%
.shiksha,73.27,293.1,1.42,293.1,183.185,7,1282.295,2534,0.0003%
.limited,205.17,205.17,1.42,205.17,205.17,7,1436.19,16364,0.0020%
.recipes,32.99,439.65,1.42,439.65,236.32,7,1654.24,15553,0.0019%
.capital,54.94,403.05,1.42,403.05,228.995,7,1602.965,57353,0.0071%
.surgery,307.75,307.75,1.42,307.75,307.75,7,2154.25,3934,0.0005%
.flowers,659.48,730.63,1.42,730.63,695.055,7,4865.385,2659,0.0003%
.academy,43.96,263.79,1.42,263.79,153.875,7,1077.125,137849,0.0171%
.systems,73.27,197.88,1.42,197.88,135.575,7,949.025,75748,0.0094%
.markets,36.67,109.95,1.42,109.95,73.31,7,513.17,7581,0.0009%
.science,73.13,73.13,1.42,73.13,73.13,7,511.91,115972,0.0144%
.fishing,175.86,175.86,1.42,175.86,175.86,7,1231.02,7419,0.0009%
.finance,73.27,366.38,1.42,366.38,219.825,7,1538.775,96007,0.0119%
.college,35.39,366.38,1.42,317.17,200.885,7,1406.195,24830,0.0031%
.kitchen,54.94,366.38,1.42,366.38,210.66,7,1474.62,17920,0.0022%
.domains,241.84,241.84,1.42,241.84,241.84,7,1692.88,15987,0.0020%
.channel,73.27,73.27,1.42,73.27,73.27,7,512.89,3132,0.0004%
.dentist,366.38,366.38,1.42,366.38,366.38,7,2564.66,6514,0.0008%
.cruises,315.12,315.12,1.42,315.12,315.12,7,2205.84,4782,0.0006%
.cooking,175.86,175.86,1.42,175.86,175.86,7,1231.02,6316,0.0008%
